2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:16 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:17 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:18 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
